smiles,name,Delta_G_ts,omega_ground_state,omega_transition_state
[H]C([H])=C([H])C(=O)N1C([H])([H])C([H])([H])C([H])(C([H])([H])S(=O)(=O)C([H])([H])[H])C([H])([H])C1([H])[H],ZINC000308883905,16.6607,0.9288,1.2143
[H]C([H])=C([H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])S(=O)(=O)C([H])([H])[H],ZINC000038047773,17.4974,0.9315,1.2258
[H]OC1([H])c2c(OC([H])([H])[H])c([H])c([H])c(OC([H])([H])[H])c2C([H])([H])N(C(=O)C([H])=C([H])[H])C1([H])[H],ZINC000328594327,13.9671,1.0586,1.2623
[H]C([H])=C([H])C(=O)N(C1([H])C([H])([H])C1([H])[H])C([H])(C([H])([H])[H])C([H])([H])S(=O)(=O)C([H])([H])[H],ZINC000328594431,17.0022,0.9532,1.2155
[H]C([H])=C([H])C(=O)N([H])C([H])([H])C([H])([H])c1nc([H])c([H])s1,ZINC000063134327,17.9199,0.9267,1.2234
[H]C([H])=C([H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])[H],ZINC000037914459,17.5818,0.9204,1.1849
[H]C([H])=C([H])C(=O)N([H])C([H])([H])C1=C([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],ZINC000307044537,18.3512,0.9159,1.2166
[H]C([H])=C([H])C(=O)N([H])C([H])([H])C([H])([H])n1nnc([H])n1,ZINC000328599935,16.1307,0.9639,1.2365
[H]C([H])=C([H])C(=O)N1C([H])([H])C([H])(C(=O)N([H])[H])C1([H])[H],ZINC000306761019,16.3489,0.9531,1.2143
[H]C([H])=C([H])C(=O)N(C([H])([H])C(=O)N([H])[H])C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],ZINC000328598346,16.9279,0.9499,1.203
[H]C([H])=C([H])C(=O)N1C([H])([H])C([H])([H])C([H])(N([H])S(=O)(=O)C([H])([H])[H])C([H])([H])C1([H])[H],ZINC000037829897,17.6005,0.939,1.2121
[H]C([H])=C([H])C(=O)N([H])C([H])([H])C([H])([H])N([H])S(=O)(=O)C([H])([H])[H],ZINC000036335001,17.855,0.9277,1.2166
[H]C([H])=C([H])C(=O)N(C([H])([H])c1c([H])nc([H])c([H])c1[H])C([H])(C([H])([H])[H])C([H])([H])[H],ZINC000037833681,17.0846,0.9774,1.2132
[H]C([H])=C([H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])C([H])(S(=O)(=O)N([H])[H])C1([H])[H],ZINC000040381368,15.7007,0.9485,1.2143
[H]OC([H])([H])C1(N([H])C(=O)C([H])=C([H])[H])C([H])([H])c2c([H])c([H])c([H])c([H])c2C1([H])[H],ZINC000328598390,16.2393,0.9244,1.22
[H]C([H])=C([H])C(=O)N([H])C([H])([H])C1([H])C([H])([H])OC([H])([H])C1([H])[H],ZINC000037738434,18.099,0.9235,1.2109
[H]OC([H])(C([H])([H])OC([H])([H])[H])C([H])([H])N([H])C(=O)C([H])=C([H])[H],ZINC000070589648,14.3958,0.9547,1.2325
[H]C([H])=C([H])C(=O)N1C([H])([H])c2c([H])c([H])c([H])c([H])c2OC(C([H])([H])[H])(C([H])([H])[H])C1([H])[H],ZINC000328599709,15.6798,0.9746,1.2132
[H]C([H])=C([H])C(=O)N1C([H])([H])C([H])([H])C([H])(C([H])([H])S(=O)(=O)C([H])([H])[H])C1([H])[H],ZINC000328597252,16.7095,0.9383,1.1973
[H]C([H])=C([H])C(=O)N([H])c1c(Br)c([H])c(Cl)c([H])c1Br,ZINC000300843081,14.0901,1.0908,1.2918
[H]C([H])=C([H])C(=O)N1C([H])([H])OC([H])([H])C1(C([H])([H])[H])C([H])([H])[H],ZINC000306520875,15.947,0.9647,1.2075
[H]C([H])=C([H])C(=O)N1C([H])([H])C([H])([H])SC([H])([H])C([H])([H])C1([H])C([H])([H])[H],ZINC000306640255,16.0592,0.9455,1.1985
[H]OC1([H])C([H])([H])N(C(=O)C([H])=C([H])[H])C([H])([H])C1([H])C([H])([H])[H],ZINC000306644065,17.6782,0.9269,1.1871
[H]C([H])=C([H])C(=O)N([H])c1c([H])c([H])c(C#N)c(Br)c1[H],ZINC000306778075,11.6456,1.3532,1.4502
[H]C([H])=C([H])C(=O)N1C([H])([H])C([H])(C([H])([H])[H])N([H])C([H])(C([H])([H])[H])C1([H])[H],ZINC000069628635,17.2166,0.8964,1.2259
[H]C([H])=C([H])C(=O)N([H])C1(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C1([H])[H],ZINC000307039134,17.766,0.9119,1.2075
[H]C([H])=C([H])C(=O)N([H])c1c(Br)c([H])nn1[H],ZINC000307037986,11.1751,1.1702,1.3284
[H]C([H])=C([H])C(=O)N([H])C1([H])C([H])([H])S(=O)(=O)C1([H])[H],ZINC000307361792,15.0637,0.9858,1.2416
[H]C([H])=C([H])C(=O)N(C([H])([H])[H])C1([H])C([H])([H])C([H])([H])S(=O)(=O)C([H])([H])C1([H])[H],ZINC000585086858,15.8237,0.9581,1.2177
[H]C([H])=C([H])C(=O)N([H])C([H])([H])c1snc([H])c1[H],ZINC000404465629,15.7257,0.9869,1.2359
[H]C([H])=C([H])C(=O)N([H])c1c(F)nc([H])c([H])c1[H],ZINC000401457482,13.2579,1.1365,1.3068
[H]C([H])=C([H])C(=O)N1C([H])([H])C([H])([H])OC([H])([H])C1([H])C([H])([H])[H],ZINC000036334993,16.4385,0.9472,1.2109
[H]C([H])=C([H])C(=O)N([H])C1([H])C([H])([H])C(F)(F)C1([H])[H],ZINC000575484259,17.0253,0.9478,1.2245
[H]OC1([H])C([H])([H])N([H])C([H])([H])C1([H])N([H])C(=O)C([H])=C([H])[H],ZINC000575537886,18.2946,0.9096,1.2143
[H]C([H])=C([H])C(=O)N([H])c1nc(C([H])([H])[H])n([H])n1,ZINC000126731069,15.1067,1.0347,1.2496
[H]Oc1c([H])c([H])c(C([H])([H])[H])c(N([H])C(=O)C([H])=C([H])[H])c1[H],ZINC000575570330,14.5834,1.0908,1.2867
[H]C(=O)c1c([H])c([H])c([H])c(N([H])C(=O)C([H])=C([H])[H])c1[H],ZINC000219159176,13.732,1.1002,1.3186
[H]C([H])=C([H])C(=O)N1C([H])([H])C([H])([H])C(=O)C([H])(C([H])([H])[H])C1([H])[H],ZINC000575494729,15.4105,0.9719,1.2234
[H]C([H])=C([H])C(=O)N1C([H])([H])C(=O)C([H])([H])C1([H])[H],ZINC000575463468,16.4683,1.001,1.2234
[H]Oc1c([H])c(N([H])C(=O)C([H])=C([H])[H])c([H])c(C([H])([H])[H])c1[H],ZINC000141810096,14.4875,1.0817,1.2727
[H]C([H])=C([H])C(=O)N([H])c1nc(C([H])([H])[H])nn1[H],ZINC000126731069,11.1453,1.1736,1.3352
