smiles,score,name
CCC[C:1](=[OH+])C(C)C,-0.6326000311820912,baldiELEC260
CCC(CC)[C+:1](c1ccccc1)c2ccccc2,-0.4451436355,baldiELEC261
CCCC(=[C:1](C)CC)C#N,-26.1409134523,baldiELEC262
CC[CH+:1]C=C,9.6227654383,baldiELEC263
CCC[O+]=[C:1](CC)CC,-2.6653797634,baldiELEC264
CCC[C:1](=C(CC)C(=O)CC)CC,-26.0741972744,baldiELEC265
CC(C)[CH:1]=O,-24.7799447934,baldiELEC266
CCC=C[CH+:1]c1ccccc1,2.0623498701,baldiELEC267
CCC[C+:1](CC)CCC,5.4979087915,baldiELEC268
CCC[C:1](=O)CC(C)(C)C,-30.2871626506,baldiELEC269
CCCC(=C[C+:1](C)CCC)C,-1.363859776,baldiELEC270
CCCC=C[C+:1](C)CCC,2.182185955010431,baldiELEC271
CCC[C:1](=O)N(C)CCC,-36.2161845641,baldiELEC272
CCCO[C:1](=O)Cc1ccccc1,-29.0343150272,baldiELEC273
c1ccc(cc1)[CH+:1]c2ccccc2,6.5599557506,baldiELEC274
C[C+:1](Cc1ccccc1)Cc2ccccc2,9.9389315305,baldiELEC275
CCCC(=[C:1](CC)CC)[N+](=O)[O-],-16.561773642468776,baldiELEC276
C[CH:1]=[O+]Cc1ccccc1,3.4780308621,baldiELEC277
CCC[C:1](=C[N+](=O)[O-])CCC,-14.9287495691,baldiELEC278
CC(C)(C)[CH:1]=N,-32.7492535488,baldiELEC279
CCC[C:1](=O)NCCC,-36.0963000382,baldiELEC280
CC[C:1](=[O+]CC)C(C)C,-2.0735326703,baldiELEC281
CC(C)[C+:1](c1ccccc1)C(C)(C)C,0.7400379707,baldiELEC282
CCCC(=[C:1](C(C)C)C(C)C)C#N,-27.65570142,baldiELEC283
CCN=[CH:1]C(C)C,-34.8378502806,baldiELEC284
CCC(=[CH:1]C)C(=O)CC,-22.0765165408,baldiELEC285
[CH2:1]=O,-20.1779979705,baldiELEC286
CCC[C+:1](C)C=C(C)CC,-0.2568795708,baldiELEC287
CC(C)(C)[C:1](=O)c1ccccc1,-25.9087756091,baldiELEC288
CCC(CC)[C:1](=O)OCC(C)C,-32.2028972223,baldiELEC289
CCC(C)[C:1](=O)C(C)(C)C,-31.3451671915,baldiELEC290
CCCC(=C[CH+:1]C)CC,3.0689007518,baldiELEC291
