SMIRKS,Source type,Sink type,Ref
"CC[NH:10]CC.COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC>>CC[NH+:10](CC)[CH:20](C1=CC=C(C=C1)OC)[C:21](=[C:22]([O-:23])OC)C#N 10=20;20,21=21,22;22,23=23",N amine,C=C enone,"Srinivasan, C; Radhakrishnan, K; Shunmugasundaram, A[Indian Journal of Chemistry, Section A: Inorganic, Physical, Theoretical and Analytical, 1993, vol. 32, # 12, p. 1092 - 1094]"
"CCOC(=O)C([C:21](=[CH2:20])[C:22]#[N:23])O.C1=CC(=CC=C1C[NH2:10])Cl>>CCOC(=O)C([C:21](=[C:22]=[N-:23])[CH2:20][NH2+:10]CC1=CC=C(C=C1)Cl)O 10=20;20,21=21,22;22,23=23",N amine,C=C acrylonitrile,https://www.sciencedirect.com/science/article/pii/S0040403900601831?via%3Dihub
"C1CC[NH:10]C1.C1=CC(=CC=C1[CH:20]=[O:21])Cl>>C1CC[NH+:10](C1)[CH:20](C2=CC=C(C=C2)Cl)[O-:21] 10=20;20,21=21",N amine,C=O aldehyde,"Isabella Chiarotto, Leonardo Mattiello, and Marta Feroci* Acc. Chem. Res. 2019, 52, 12, 3297-3308"
"CC(C)(C)[CH:20]=[O:21].C1CC([NH:10]C1)C(=O)O>>CC(C)(C)[CH:20]([NH+:10]1CCCC1C(=O)O)[O-:21] 10=20;20,21=21",N amine,C=O aldehyde,"Orsini, F.; Pelizzoni, F.; Forte, M.; Sisti, M.; Bombieri, G.; Benetollo, F. [Journal of Heterocyclic Chemistry, 1989, vol. 26, p. 837 - 841]"
"CC(C)[NH:10]C(C)C.CO[C:22](=[O:23])[CH:21]=[CH2:20]>>CC(C)[NH+:10]([CH2:20][CH:21]=[C:22]([O-:23])OC)C(C)C 10=20;20,21=21,22;22,23=23",N amine,C=C enoate,"Ranu, Brindaban C.; Banerjee, Subhash Tetrahedron Lett. 2007, vol. 48, # 1, p. 141 - 143"
"C/[CH:20]=[C:21]/1\C2=C(C=CC=C2)C=C[C:22]1=[O:23].COC1=C(C=C2C=[N:10]CCC2=C1)OC>>C[CH:20]([C:21]1=[C:22](C=CC2=C1C=CC=C2)[O-:23])[N+:10]3=CC4=CC(=C(C=C4CC3)OC)OC 10=20;20,21=21,22;22,23=23",N imine,C=C enone,"Istvˆn Szatmˆri, Ferenc Fôl_p Tetrahedron Lett. 2011, 52, 4440-4442"
"C[C:20]1=[N+:21](C2=C(C1(C)C)C=CC=C2)CC[NH2:10]>>CC1(C2=C(C=CC=C2)[N:21]3[C:20]1(C)[NH2+:10]CC3)C 10=20;20,21=21",N amine,C=N+ iminium,"Degutis, Yu. A.; Shachkus, A. A. [Chemistry of Heterocyclic Compounds, 1987, vol. 23, p. 191 - 194]"
"COC(C[NH+:21]=[CH2:20])OC.[C-:10]#[N+]CCC1=CC=CC=C1>>COC(C[NH:21][CH2:20][C:10]#[N+]CCC1=CC=CC=C1)OC 10=20;20,21=21",C#N isonitrile,C=N+ iminium,"Boltjes, A.; et al. Org. Synth. 2017, 94, 54-65"
[B-](OC1=C(C=C(C=C1C(C)(C)C)[CH+:20]C2=CC=CC=C2)C(C)(C)C)(F)(F)F.CC(C)(C)[N+]#[C-:10]>>[B-](OC1=C(C=C(C=C1C(C)(C)C)[CH:20]([C:10]#[N+]C(C)(C)C)C2=CC=CC=C2)C(C)(C)C)(F)(F)F 10=20,C#N isonitrile,C+ carbenium,"Sachin R. Shirsath, Ganesh H. Shinde, Aslam C. Shaikh, and M. Muthukrishnan* J. Org. Chem. 2018, 83, 19, 12305"
"CC(C)(C)[N+]#[C-:10].[C:22](#[N:23])[C:21](=[C:20](C(F)(F)F)C(F)(F)F)C#N>>CC(C)(C)[N+]#[C:10][C:20]([C:21](=[C:22]=[N-:23])C#N)(C(F)(F)F)C(F)(F)F 10=20;20,21=21,22;22,23=23",C#N isonitrile,C=C acrylonitrile,"Seidenspinner, H.M. Liebigs Ann. Chem., 1984,5, 1003-1012"
"CC1=CC=C(C=C1)S(=O)(=O)C(CC2=CC(=C(C=C2)OC)OC)[N+]#[C-:10].COC1=C(C=C(C=C1)[CH:20]=[O+:21]C)OC>>CC1=CC=C(C=C1)S(=O)(=O)C(CC2=CC(=C(C=C2)OC)OC)[N+]#[C:10][CH:20](C3=CC(=C(C=C3)OC)OC)[O:21]C 10=20;20,21=21",C#N isonitrile,C=O+ oxacarbenium,"Barrett, A. G. M.; Barton, D. H. R.; Falck, J. R.; Papaioannou, D.; Widdowson, D. A. J. Chem. Soc., Perkin Trans. 1 1979, 652-661."
"COC1=CC(=C(C=C1)OC)[CH:20]=[NH2+:21].[CH2:10]=[N+:11]([O-:12])[O-]>>COC1=CC(=C(C=C1)OC)[CH:20]([CH2:10][N+:11](=[O:12])[O-])[NH2:21] 10,11=10,20;12=11;20,21=21",CNO2 nitronate anion,C=N+ iminium,"Shulgin, A; Shulgin, A. PIHKAL: A Chemical Love Story. Transform Press, 1990"
"COC(CCC[CH:20]=[O:21])OC.[CH2:10]=[N+:11]([O-:12])[O-]>>COC(CCC[CH:20]([CH2:10][N+:11](=[O:12])[O-])[O-:21])OC 10,11=10,20;12=11;20,21=21",CNO2 nitronate anion,C=O aldehyde,"G. Sudhakar Reddy, D. Srinivas Reddy, and E. J. Corey Org.Lett.2021, 23, 2258_2262"
"C[C:22](=[O:23])/[CH:21]=[CH:20]/C1=CC=CC=C1.C1CC[C:10](=[N+:11]([O-:12])[O-])C1>>C[C:22](=[CH:21][CH:20](C1=CC=CC=C1)[C:10]2(CCCC2)[N+:11](=[O:12])[O-])[O-:23] 10,11=10,20;12=11;20,21=21,22;22,23=23",CNO2 nitronate anion,C=C enone,"Guo, Xing-Tao; Shen, Jie; Sha, Feng; Wu, Xin-Yan[Synthesis, 2015, vol. 47, # 14, art. no. SS-2015-H0046-OP, p. 2063"
"COC(=O)CC[C:10](=[N+:11]([O-:12])[O-])C1=CC=CC=C1.[CH2:20]=[NH2+:21]>>COC(=O)CC[C:10]([CH2:20][NH2:21])(C1=CC=CC=C1)[N+:11](=[O:12])[O-] 10,11=10,20;12=11;20,21=21",CNO2 nitronate anion,C=N+ iminium,"Kolczewski, Sabine; Pinard, Emmanuel; Stalder, HenriUS2010/197715, 2010, A1 Location in patent: Page/Page column 26-27"
"CCCC[C:22](=[O:23])[CH:21]=[CH2:20].C1CCC(=O)C(=[N+]([O-:10])[O-])C1>>CCCC[C:22](=[CH:21][CH2:20][O:10][N+](=C1CCCCC1=O)[O-])[O-:23] 10=20;20,21=21,22;22,23=23",CNO2 nitronate anion,C=C enone,"Vavrecka, Mojmir; Hesse, Manfred [Helvetica Chimica Acta, 1991, vol. 74, # 2, p. 438 - 444]"
"CCOC(=O)[CH:10]=[C:11]=[N-:12].C1=CC(=CC=C1[CH:20]=[O:21])Br>>CCOC(=O)[CH:10]([C:11]#[N:12])[CH:20](C1=CC=C(C=C1)Br)[O-:21] 10,11=10,20;12=11;20,21=21",CCN- acetonitrile anion,C=O aldehyde,"T. He, R. Shi, Y. Gong, G. Jiang, M. Liu, S. Qian, Z. Wang, Synlett, 2016, 27, 1864"
"COC1=C(C=C(C=C1)[CH:20]=[O:21])OC.COC1=C(C=C(C=C1)[C:10](=[C:11]=[N-:12])O)OC>>COC1=C(C=C(C=C1)[CH:20]([C:10]([C:11]#[N:12])(C2=CC(=C(C=C2)OC)OC)O)[O-:21])OC 10,11=10,20;12=11;20,21=21",CCN- acetonitrile anion,C=O aldehyde,"Ohta, Kazuchika; Hasebe, Hiroshi; Ema, Hiroshi; Moriya, Mitsuo; Fujimoto, Tetsuya; Yamamoto, Iwao[Molecular Crystals and Liquid Crystals (1969-1991), 1991, vol. 208, p. 21 - 32]"
"CC1(C2CCC(C2)([C:20]1=[O:21])C)C.[CH2:10]=[C:11]=[N-:12]>>CC1(C2CCC(C2)([C:20]1([CH2:10][C:11]#[N:12])[O-:21])C)C 10,11=10,20;12=11;20,21=21",CCN- acetonitrile anion,C=O ketone,"Dimitrov, Vladimir; Dobrikov, Georgi; Genov, Miroslav[Tetrahedron Asymmetry, 2001, vol. 12, # 9, p. 1323 - 1329]"
"COC1=CC=C(C=C1)[CH:11]=[C:10]=[N-].C1CC[C:20](=[O:21])CC1>>COC1=CC=C(C=C1)[CH+:11][C:10](=[N-])[C:20]2(CCCCC2)[O-:21] 10,11=10,20;20,21=21",CCN- acetonitrile anion,C=O ketone,"UNICHEM LABORATORIES LIMITEDWO2007/94008, 2007, A2 Page/column 7"
"C1=CN=CC(=C1)[CH:20]=[NH2+:21].[CH:10](=[C:11]=[N-:12])C#N>>C1=CN=CC(=C1)[CH:20]([CH:10]([C:11]#[N:12])C#N)[NH2:21] 10,11=10,20;12=11;20,21=21",CCN- acetonitrile anion,C=N+ iminium,"Vereshchagin, Anatoly N.; Karpenko, Kirill A.; Elinson, Michail N.; Dorofeeva, Evgeniya O.; Goloveshkin, Alexander S.; Egorov, Mikhail P.[Mendeleev Communications, 2018, vol. 28, # 4, p. 384 - 386]"
"[CH2:10]=[C:11]=[N-:12].C1C=CC=C1[CH:20]=[O:21]>>C1C=CC=C1[CH:20]([CH2:10][C:11]#[N:12])[O-:21] 10,11=10,20;12=11;20,21=21",CCN- acetonitrile anion,C=O aldehyde,"Isabella Chiarotto, Leonardo Mattiello, and Marta Feroci* Acc. Chem. Res. 2019, 52, 12, 3297-3308"
"CC/C=C\C[CH:20]=[O+:21]C.CC(C)[Si](C(C)C)(C(C)C)[O:12][CH:11]=[C:10]1CCC1>>CC/C=C\C[CH:20]([C:10]1(CCC1)[CH:11]=[O+:12][Si](C(C)C)(C(C)C)C(C)C)[O:21]C 10,11=10,20;12=11;20,21=21",C=CO enol silyl ether,C=O+ oxacarbenium,"Pastor, I. M.; Yus, M. Current Organic Chemistry, 2012, 16, 1277-1312"
"CCO/[C:11](=[CH:10]/[N+]#N)/[O-:12].CC1=CC(=CC=C1)[C:20](=[OH+:21])C>>CCO[C:11](=[O:12])[CH:10]([C:20](C)(C1=CC=CC(=C1)C)[OH:21])[N+]#N 10,11=10,20;12=11;20,21=21",C=CO- enolate anion,C=O+ oxacarbenium,
"COC1=CC=C(C=C1)[CH:20]=[O:21].[CH2:10]=[C:11](C1CC1)[O-:12]>>COC1=CC=C(C=C1)[CH:20]([CH2:10][C:11](=[O:12])C2CC2)[O-:21] 10,11=10,20;12=11;20,21=21",C=CO- enolate anion,C=O aldehyde,"Abdel-Halim, M.; et al. J. Med. Chem. 2021, 64, 8, 4462"
"CC1(C[C:11](=[CH:10]C(=O)C1)[O-:12])C.[CH:21](=[CH:20]\Cl)\[N+:22](=[O:23])[O-]>>CC1(C[C:11](=[O:12])[CH:10](C(=O)C1)[CH:20]([CH:21]=[N+:22]([O-:23])[O-])Cl)C 10,11=10,20;12=11;20,21=21,22;22,23=23",C=CO- enolate anion,C=C nitroalkene,"Volynskii, V. E.; Sopova, A. S.[Journal of Organic Chemistry USSR (English Translation), 1982, vol. 18, # 12, p. 2215"
"CCCCN1C(=C)C(C2=C1C=CC(=C2)[CH:20]=[N+:21]3CCCCC3)(C)C.CC(C)(C)O/[C:11](=[CH:10]/C#N)/[O-:12]>>CCCCN1C(=C)C(C2=C1C=CC(=C2)[CH:20]([CH:10](C#N)[C:11](=[O:12])OC(C)(C)C)[N:21]3CCCCC3)(C)C 10,11=10,20;12=11;20,21=21",C=CO- enolate anion,C=N+ iminium,"Shivashimpi, Gururaj M.; Pandey, Shyam S.; Watanabe, Rie; Fujikawa, Naotaka; Ogomi, Yuhei; Yamaguchi, Yoshihiro; Hayase, Shuzi Tetrahedron Letters, 2012, 53, 5437 - 5440"
"CCCCCC(CC)O/[C:11](=[CH:10]\C#N)/[O-:12].C1=CC=C(C=C1)[C:20](=[O:21])C2=CC=CC=C2>>CCCCCC(CC)O[C:11](=[O:12])[CH:10](C#N)[C:20](C1=CC=CC=C1)(C2=CC=CC=C2)[O-:21] 10,11=10,20;12=11;20,21=21",C=CO- enolate anion,C=O ketone,
"CCO/[C:11](=[CH:10]/C1=CC=CS1)/[O-:12].CCO[C:20](=[O:21])OCC>>CCO[C:11](=[O:12])[CH:10](C1=CC=CS1)[C:20]([O-:21])(OCC)OCC 10,11=10,20;12=11;20,21=21",C=CO- enolate anion,C=O carbonate,"Blicke; Leonard[Journal of the American Chemical Society, 1946, vol. 68, p. 1934"
"C[C:10]1=[C:11](N(C(=O)N(C1=O)C)C)[O-:12].C[C:22](=[O:23])[CH:21]=[CH2:20]>>C[C:22](=[CH:21][CH2:20][C:10]1(C(=O)N(C(=O)N([C:11]1=[O:12])C)C)C)[O-:23] 10,11=10,20;12=11;20,21=21,22;22,23=23",C=CO- enolate amide anion,C=C enone,"Kise, N.; Tuji, T.; Sakurai, T. Tetrahedron Lett 2016, 57, 1790"
